date_range,state,lake,chance_cyanoHAB,lat,lon,COMID,date_start,date_end,label
Oct-13-2024 to Oct-19-2024,ME,Pleasant Lake,0.39,46.02266,-68.1624,759,2024-10-13,2024-10-19,Pleasant Lake </br> 0.39%
Oct-13-2024 to Oct-19-2024,ME,Jackson Brook Lake,1.85,45.53332,-67.7441,1637,2024-10-13,2024-10-19,Jackson Brook Lake </br> 1.85%
Oct-13-2024 to Oct-19-2024,ME,Wytopitlock Lake,0.76,45.79854,-68.1596,2311,2024-10-13,2024-10-19,Wytopitlock Lake </br> 0.76%
Oct-13-2024 to Oct-19-2024,CO,Boyd Lake,1.52,40.43393,-105.033,11646,2024-10-13,2024-10-19,Boyd Lake </br> 1.52%
Oct-13-2024 to Oct-19-2024,CO,Lake Loveland,1.35,40.412350000000004,-105.087,11682,2024-10-13,2024-10-19,Lake Loveland </br> 1.35%
Oct-13-2024 to Oct-19-2024,CO,Carter Lake Reservoir,0.83,40.33504,-105.218,11816,2024-10-13,2024-10-19,Carter Lake Reservoir </br> 0.83%
Oct-13-2024 to Oct-19-2024,FL,Rodgers River Bay,0.52,25.56711,-81.0981,84918,2024-10-13,2024-10-19,Rodgers River Bay </br> 0.52%
Oct-13-2024 to Oct-19-2024,FL,West Lake,75.59,25.20776,-80.824700000000007,86672,2024-10-13,2024-10-19,West Lake </br> 75.59%
Oct-13-2024 to Oct-19-2024,FL,Cuthbert Lake,95.79,25.20805,-80.7758,86678,2024-10-13,2024-10-19,Cuthbert Lake </br> 95.79%
Oct-13-2024 to Oct-19-2024,FL,Seven Palm Lake,62.83,25.1935,-80.7295,86706,2024-10-13,2024-10-19,Seven Palm Lake </br> 62.83%
Oct-13-2024 to Oct-19-2024,FL,Monroe Lake,47.85,25.17788,-80.7405,86758,2024-10-13,2024-10-19,Monroe Lake </br> 47.85%
Oct-13-2024 to Oct-19-2024,FL,Bear Lake,66,25.16884,-80.9597,86782,2024-10-13,2024-10-19,Bear Lake </br> 66%
Oct-13-2024 to Oct-19-2024,FL,Coot Bay Pond,8.71,25.19438,-80.9166,89704,2024-10-13,2024-10-19,Coot Bay Pond </br> 8.71%
Oct-13-2024 to Oct-19-2024,FL,Lake Ingraham,10.7,25.15963,-81.1121,91346,2024-10-13,2024-10-19,Lake Ingraham </br> 10.7%
Oct-13-2024 to Oct-19-2024,CO,Marston Lake,0.84,39.62961,-105.068,187905,2024-10-13,2024-10-19,Marston Lake </br> 0.84%
Oct-13-2024 to Oct-19-2024,CO,Chatfield Lake,0.94,39.54464,-105.067,188031,2024-10-13,2024-10-19,Chatfield Lake </br> 0.94%
Oct-13-2024 to Oct-19-2024,TX,Sal del Ray,0.64,26.5372,-98.0564,201345,2024-10-13,2024-10-19,Sal del Ray </br> 0.64%
Oct-13-2024 to Oct-19-2024,TX,La Sal Vieja,0.72,26.53074,-97.8765,202621,2024-10-13,2024-10-19,La Sal Vieja </br> 0.72%
Oct-13-2024 to Oct-19-2024,TX,Unit Number Two,99.86,26.4129,-97.9464,204341,2024-10-13,2024-10-19,Unit Number Two </br> 99.86%
Oct-13-2024 to Oct-19-2024,TX,Laguna Atascosa,7.13,26.23655,-97.3888,204781,2024-10-13,2024-10-19,Laguna Atascosa </br> 7.13%
Oct-13-2024 to Oct-19-2024,TX,Reservoir Number One,98.58,26.0565,-97.7273,205377,2024-10-13,2024-10-19,Reservoir Number One </br> 98.58%
Oct-13-2024 to Oct-19-2024,TX,Resaca de La Palma Reservoir,99.92,25.97196,-97.5511,207611,2024-10-13,2024-10-19,Resaca de La Palma Reservoir </br> 99.92%
Oct-13-2024 to Oct-19-2024,CO,Jackson Reservoir,67.43,40.39189,-104.074,224233,2024-10-13,2024-10-19,Jackson Reservoir </br> 67.43%
Oct-13-2024 to Oct-19-2024,CO,Riverside Reservoir,27.73,40.33816,-104.263,224311,2024-10-13,2024-10-19,Riverside Reservoir </br> 27.73%
Oct-13-2024 to Oct-19-2024,CO,Lower Latham Reservoir,60.94,40.34583,-104.639,224361,2024-10-13,2024-10-19,Lower Latham Reservoir </br> 60.94%
Oct-13-2024 to Oct-19-2024,CO,Empire Reservoir,56.86,40.2678,-104.163,224443,2024-10-13,2024-10-19,Empire Reservoir </br> 56.86%
Oct-13-2024 to Oct-19-2024,CO,Milton Reservoir,24.08,40.2264,-104.642,224573,2024-10-13,2024-10-19,Milton Reservoir </br> 24.08%
Oct-13-2024 to Oct-19-2024,CO,Standley Lake,2.31,39.86374,-105.124,228235,2024-10-13,2024-10-19,Standley Lake </br> 2.31%
